Location,Crime,Total cases,Year
Melilla,Theft,1204,2019
Melilla,Vehicle theft,76,2019
Melilla,Drug trafficking,63,2019
Melilla,Other criminal offenses,3577,2019
Melilla,Intentional homicides and consummated murders,0,2020
Melilla,Intentional homicides and attempted murders,2,2020
Melilla,Serious and less serious crimes of injuries and riotous brawl,157,2020
Melilla,Kidnapping,0,2020
Melilla,Crimes against freedom and sexual indemnity,34,2020
Melilla,Sexual assault with penetration,4,2020
Melilla,Other crimes against freedom and sexual indemnity,30,2020
Melilla,Robbery with violence and intimidation,300,2020
Melilla,Burglaries with force in homes,65,2020
Melilla,Robberies with force in homes,44,2020
Melilla,Theft,778,2020
Melilla,Vehicle theft,42,2020
Melilla,Drug trafficking,232,2020
Melilla,Other criminal offenses,2857,2020
Melilla,Intentional homicides and consummated murders,0,2021
Melilla,Intentional homicides and attempted murders,4,2021
Melilla,Serious and less serious crimes of injuries and riotous brawl,119,2021
Melilla,Kidnapping,0,2021
Melilla,Crimes against freedom and sexual indemnity,39,2021
Melilla,Sexual assault with penetration,2,2021
Melilla,Other crimes against freedom and sexual indemnity,37,2021
Melilla,Robbery with violence and intimidation,201,2021
Melilla,Burglaries with force in homes,68,2021
Melilla,Robberies with force in homes,55,2021
Melilla,Theft,576,2021
Melilla,Vehicle theft,35,2021
Melilla,Drug trafficking,230,2021
Melilla,Other criminal offenses,2842,2021
